OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
9145,N14,N187,MADIPAKKAM,MADIPAKKAM MAIN ROAD,MADIPAKKAM MAIN ROAD,S_W187_003,12.968166,80.193062,80.1930619,12.968166,Half Full
9146,N14,N187,MADIPAKKAM,MADIPAKKAM MAIN ROAD,MADIPAKKAM MAIN ROAD,S_W187_004,12.968366,80.192294,80.1922936,12.9683658,Empty
9147,N14,N187,MADIPAKKAM,SATH SANGAM STREET,SATH SANGAM STREET,S_W187_001,12.966715,80.191104,80.1911041,12.966715,Empty
9148,N14,N187,MADIPAKKAM,VENKATESAPERUMAL 2ND STREET,VENKATESAPERUMAL 2ND STREET,S_W187_001,12.965996,80.191882,80.191882,12.9659958,Full
9149,N14,N187,MADIPAKKAM,LAKE VIEW MAIN ROAD,LAKE VIEW MAIN ROAD,S_W187_001,12.962517,80.190662,80.190662,12.9625166,Full
9150,N14,N187,MADIPAKKAM,LAKE VIEW MAIN ROAD,LAKE VIEW MAIN ROAD,S_W187_002,12.964427,80.191098,80.1910985,12.9644274,Full
9151,N14,N187,MADIPAKKAM,LAKE VIEW MAIN ROAD,LAKE VIEW MAIN ROAD,S_W187_003,12.962521,80.190671,80.1906712,12.9625214,Empty
9152,N14,N187,MADIPAKKAM,LAKE VIEW MAIN ROAD,LAKE VIEW MAIN ROAD,S_W187_004,12.961437,80.190355,80.1903548,12.9614368,Empty
9153,N14,N187,MADIPAKKAM,LAKE VIEW MAIN ROAD,LAKE VIEW MAIN ROAD,S_W187_005,12.959574,80.189746,80.1897462,12.9595738,Full
9154,N14,N187,MADIPAKKAM,KAMARAJ STREET,KAMARAJAR STREET,S_W187_001,12.967264,80.19129,80.1912905,12.9672644,Empty
9155,N14,N187,MADIPAKKAM,KAMARAJ STREET,KAMARAJAR STREET,S_W187_002,12.96728,80.19127,80.1912703,12.9672801,Empty
9156,N14,N187,MADIPAKKAM,SARASWATHI STREET,SARASWATHI STREET,S_W187_001,12.96539,80.196042,80.1960424,12.9653903,Empty
9157,N14,N187,MADIPAKKAM,SARASWATHI STREET,SARASWATHI STREET,S_W187_002,12.965385,80.196016,80.1960157,12.9653855,Half Full
9158,N14,N187,MADIPAKKAM,SANATHY STREET IYYAPPA NAGAR,SANATHY STREET IYYAPPA NAGAR,S_W187_001,12.964926,80.190517,80.1905171,12.964926,Empty
9159,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM YERIKARAI ST.,S_W187_001,12.964149,80.19352,80.1935205,12.9641491,Full
9160,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM YERIKARAI ST.,S_W187_002,12.963103,80.192734,80.1927336,12.9631029,Full
